"filename", "language", "PHP", "JSON", "XML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 22, 67
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Console\Kernel.php", "PHP", 15, 0, 0, 0, 0, 0, 7, 6, 28
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Exceptions\Handler.php", "PHP", 17, 0, 0, 0, 0, 0, 9, 5, 31
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Controllers\ArticleController.php", "PHP", 90, 0, 0, 0, 0, 0, 10, 18, 118
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Controllers\AuthController.php", "PHP", 49, 0, 0, 0, 0, 0, 13, 15, 77
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Controllers\BookController.php", "PHP", 86, 0, 0, 0, 0, 0, 10, 15, 111
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Controllers\DashboardController.php", "PHP", 10, 0, 0, 0, 0, 0, 1, 4, 15
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Kernel.php", "PHP", 42, 0, 0, 0, 0, 0, 21, 7, 70
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\Authenticate.php", "PHP", 11, 0, 0, 0, 0, 0, 3, 4, 18
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\CheckAdmin.php", "PHP", 19, 0, 0, 0, 0, 0, 6, 5, 30
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\CheckRole.php", "PHP", 15, 0, 0, 0, 0, 0, 10, 5, 30
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 20, 0, 0, 0, 0, 0, 5, 6, 31
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 5, 4, 20
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 5, 4, 21
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 10, 5, 29
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\ValidateSignature.php", "PHP", 8, 0, 0, 0, 0, 0, 11, 4, 23
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 6, 4, 18
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Requests\ArticleRequest.php", "PHP", 23, 0, 0, 0, 0, 0, 8, 5, 36
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Requests\BookRequest.php", "PHP", 22, 0, 0, 0, 0, 0, 8, 6, 36
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Requests\LoginRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 6, 31
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Http\Requests\RegisterRequest.php", "PHP", 32, 0, 0, 0, 0, 0, 8, 6, 46
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Models\Article.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Models\Book.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Models\User.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 8, 23
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 8, 5, 25
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Providers\AuthServiceProvider.php", "PHP", 11, 0, 0, 0, 0, 0, 11, 5, 27
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 3, 5, 20
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 12, 6, 39
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\app\Providers\RouteServiceProvider.php", "PHP", 24, 0, 0, 0, 0, 0, 10, 7, 41
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 30, 9, 56
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\composer.json", "JSON", 0, 66, 0, 0, 0, 0, 0, 1, 67
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\composer.lock", "JSON", 0, 8129, 0, 0, 0, 0, 0, 1, 8130
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\app.php", "PHP", 27, 0, 0, 0, 0, 0, 131, 31, 189
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 74, 14, 116
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\broadcasting.php", "PHP", 36, 0, 0, 0, 0, 0, 23, 13, 72
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\cache.php", "PHP", 59, 0, 0, 0, 0, 0, 34, 19, 112
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\cors.php", "PHP", 11, 0, 0, 0, 0, 0, 12, 12, 35
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 47, 22, 152
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 32, 13, 77
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\hashing.php", "PHP", 14, 0, 0, 0, 0, 0, 32, 9, 55
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 34, 19, 132
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\mail.php", "PHP", 61, 0, 0, 0, 0, 0, 54, 20, 135
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\queue.php", "PHP", 51, 0, 0, 0, 0, 0, 42, 17, 110
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\sanctum.php", "PHP", 17, 0, 0, 0, 0, 0, 53, 14, 84
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 11, 7, 35
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 157, 35, 215
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 20, 7, 37
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\factories\UserFactory.php", "PHP", 25, 0, 0, 0, 0, 0, 14, 6, 45
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 21, 0, 0, 0, 0, 0, 6, 6, 33
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 19, 0, 0, 0, 0, 0, 6, 4, 29
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 23, 0, 0, 0, 0, 0, 6, 4, 33
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 24, 0, 0, 0, 0, 0, 6, 4, 34
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\migrations\2023_12_30_095239_create_books_table.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 4, 29
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\migrations\2024_01_01_141744_create_articles_table.php", "PHP", 26, 0, 0, 0, 0, 0, 6, 4, 36
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\database\seeders\DatabaseSeeder.php", "PHP", 9, 0, 0, 0, 0, 0, 9, 5, 23
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\package.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\phpunit.xml", "XML", 0, 0, 30, 0, 0, 0, 2, 1, 33
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 30, 12, 56
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\resources\js\app.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Kampus\Semester 5\tugas_besar (4)\tugas_besar\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 3, 0, 0, 23, 7, 33
